OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 0005821,7/19/2015,74,Wholesale,USD,NXH382,124,2,5,180.90,904.50,133.87
SO - 0007658,7/19/2015,23,Wholesale,USD,AXW291,536,5,7,"1,721.90","12,053.30","1,084.80"
SO - 0009240,7/19/2015,85,Wholesale,USD,AXW291,653,13,9,"3,886.00","34,974.00","2,059.58"
SO - 0009212,7/19/2015,67,Wholesale,USD,NXH382,165,11,8,"3,932.90","31,463.20","2,831.69"
SO - 000426,7/19/2015,140,Wholesale,USD,NXH382,235,15,7,"1,165.80","8,160.60",582.90
SO - 0003284,7/19/2015,76,Wholesale,USD,NXH382,660,26,8,"2,378.50","19,028.00","1,379.53"
SO - 0003328,7/19/2015,72,Distributor,USD,FLR025,157,19,10,"1,031.80","10,318.00",526.22
SO - 0004017,7/19/2015,42,Distributor,USD,AXW291,284,13,10,"3,979.80","39,798.00","3,263.44"
SO - 0005302,7/19/2015,141,Distributor,USD,NXH382,255,14,12,"1,755.40","21,064.80","1,018.13"
SO - 0007893,7/19/2015,4,Export,USD,GUT930,717,25,11,"1,989.90","21,888.90","1,373.03"
SO - 0008249,7/19/2015,137,Wholesale,USD,AXW291,876,25,7,"3,504.10","24,528.70","2,207.58"
SO - 0009057,7/19/2015,76,Wholesale,USD,GUT930,681,5,10,971.50,"9,715.00",437.18
SO - 0009173,7/19/2015,68,Wholesale,USD,GUT930,608,5,7,"3,343.30","23,403.10","2,407.18"
SO - 0009289,7/19/2015,149,Wholesale,USD,NXH382,246,26,7,"1,246.20","8,723.40",573.25
SO - 000985,7/19/2015,90,Distributor,USD,AXW291,774,17,6,207.70,"1,246.20",153.70
SO - 0002071,7/19/2015,90,Wholesale,USD,NXH382,806,2,7,"3,892.70","27,248.90","3,308.80"
SO - 0003072,7/19/2015,134,Distributor,USD,GUT930,24,19,6,"1,721.90","10,331.40","1,308.64"
SO - 0003171,7/19/2015,95,Distributor,USD,NXH382,880,6,11,"3,966.40","43,630.40","2,816.14"
SO - 0004136,7/19/2015,10,Wholesale,USD,AXW291,485,2,6,214.40,"1,286.40",154.37
SO - 0004807,7/19/2015,163,Wholesale,USD,AXW291,67,14,10,"1,005.00","10,050.00",582.90
SO - 0008196,7/19/2015,98,Wholesale,USD,GUT930,343,1,11,"3,953.00","43,483.00","3,320.52"
SO - 0001025,7/19/2015,125,Distributor,USD,GUT930,892,7,7,"1,038.50","7,269.50",810.03
SO - 0002169,7/19/2015,46,Distributor,USD,AXW291,775,11,11,"1,118.90","12,307.90",794.42
SO - 0003218,7/19/2015,128,Wholesale,USD,AXW291,457,9,10,"1,909.50","19,095.00","1,355.75"
SO - 0003277,7/19/2015,24,Distributor,USD,NXH382,623,14,12,"3,999.90","47,998.80","3,079.92"
SO - 0003569,7/19/2015,41,Wholesale,USD,NXH382,931,22,12,"5,956.30","71,475.60","4,228.97"
SO - 0005509,7/19/2015,113,Export,USD,NXH382,257,25,11,"2,244.50","24,689.50","1,705.82"
SO - 0006068,7/19/2015,39,Wholesale,USD,AXW291,474,21,7,"2,458.90","17,212.30","1,303.22"
SO - 0006543,7/19/2015,18,Distributor,USD,GUT930,453,5,8,757.10,"6,056.80",499.69
SO - 0006619,7/19/2015,45,Distributor,USD,AXW291,58,18,7,"1,996.60","13,976.20","1,397.62"
SO - 0006885,7/19/2015,139,Wholesale,USD,GUT930,321,29,7,"3,155.70","22,089.90","1,988.09"
SO - 0001664,7/20/2015,65,Export,USD,AXW291,241,25,7,"2,224.40","15,570.80","1,890.74"
SO - 0003791,7/20/2015,119,Wholesale,USD,AXW291,523,16,8,730.30,"5,842.40",365.15
SO - 0010583,7/20/2015,53,Distributor,USD,GUT930,981,30,7,"1,909.50","13,366.50",801.99
SO - 000186,7/20/2015,159,Wholesale,USD,GUT930,361,5,8,"3,182.50","25,460.00","1,973.15"
SO - 0001377,7/20/2015,46,Wholesale,USD,NXH382,895,14,6,"3,182.50","19,095.00","1,686.73"
SO - 0002948,7/20/2015,96,Wholesale,USD,AXW291,472,5,8,"3,966.40","31,731.20","2,657.49"
SO - 0003548,7/20/2015,173,Export,USD,NXH382,626,26,7,"1,172.50","8,207.50",644.88
SO - 0005634,7/20/2015,14,Distributor,USD,AXW291,213,1,6,"3,872.60","23,235.60","1,703.94"
SO - 0008345,7/20/2015,102,Distributor,USD,AXW291,251,2,7,207.70,"1,453.90",137.08
SO - 0010002,7/20/2015,152,Wholesale,USD,AXW291,947,28,12,"1,092.10","13,105.20",546.05
SO - 0003959,7/20/2015,10,Export,USD,NXH382,843,11,7,938.00,"6,566.00",590.94
SO - 0004099,7/20/2015,151,Distributor,USD,GUT930,858,14,9,"3,852.50","34,672.50","2,465.60"
SO - 0001128,7/20/2015,107,Distributor,USD,AXW291,651,4,7,"5,132.20","35,925.40","2,206.85"
SO - 0002867,7/20/2015,72,Wholesale,USD,FLR025,949,25,5,187.60,938.00,84.42
SO - 0002873,7/20/2015,45,Wholesale,USD,FLR025,461,24,11,194.30,"2,137.30",157.38
SO - 0003712,7/20/2015,46,Wholesale,USD,AXW291,393,15,11,"3,966.40","43,630.40","2,221.18"
SO - 0004059,7/20/2015,53,Wholesale,USD,GUT930,154,13,8,"1,118.90","8,951.20",593.02
SO - 0005969,7/20/2015,61,Wholesale,USD,AXW291,397,13,12,"1,721.90","20,662.80",843.73
SO - 0010615,7/20/2015,53,Distributor,USD,AXW291,533,25,9,"3,953.00","35,577.00","3,360.05"
SO - 0001007,7/20/2015,136,Distributor,USD,AXW291,207,25,8,"1,922.90","15,383.20",865.31
SO - 0001327,7/20/2015,28,Wholesale,USD,FLR025,881,3,10,"1,159.10","11,591.00",834.55
SO - 0004716,7/20/2015,44,Distributor,USD,GUT930,953,14,9,978.20,"8,803.80",410.84
SO - 0005592,7/20/2015,105,Wholesale,USD,AXW291,861,4,9,"1,098.80","9,889.20",922.99
SO - 0007871,7/20/2015,33,Wholesale,USD,AXW291,450,1,12,"1,058.60","12,703.20",846.88
SO - 0010432,7/20/2015,45,Export,USD,GUT930,695,15,5,"3,142.30","15,711.50","2,513.84"
SO - 0008840,7/20/2015,156,Distributor,USD,AXW291,127,2,7,844.20,"5,909.40",616.27
SO - 0008857,7/20/2015,48,Distributor,USD,AXW291,766,25,8,187.60,"1,500.80",80.67
SO - 0009123,7/20/2015,141,Distributor,USD,AXW291,739,2,6,864.30,"5,185.80",380.29
SO - 0008368,7/20/2015,106,Distributor,USD,GUT930,65,13,5,"3,457.20","17,286.00","1,486.60"
SO - 000360,7/20/2015,47,Wholesale,USD,AXW291,563,19,9,"1,252.90","11,276.10",651.51
SO - 0002364,7/20/2015,7,Export,USD,AXW291,93,17,7,"1,849.20","12,944.40","1,423.88"
SO - 0006512,7/20/2015,113,Distributor,USD,AXW291,108,26,5,"1,005.00","5,025.00",603.00
SO - 0006950,7/20/2015,146,Distributor,USD,AXW291,207,16,10,"2,539.30","25,393.00","1,879.08"
SO - 0007413,7/20/2015,107,Wholesale,USD,FLR025,660,27,7,207.70,"1,453.90",176.55
SO - 0007498,7/20/2015,87,Distributor,USD,FLR025,471,4,9,"1,045.20","9,406.80",836.16
SO - 0008888,7/20/2015,67,Wholesale,USD,GUT930,198,26,6,"1,058.60","6,351.60",793.95
SO - 0009402,7/20/2015,5,Export,USD,AXW291,494,5,8,"1,025.10","8,200.80",656.06
SO - 0010586,7/20/2015,150,Wholesale,USD,AXW291,374,6,5,"3,658.20","18,291.00","2,487.58"
SO - 000430,7/21/2015,59,Export,USD,AXW291,854,13,7,924.60,"6,472.20",665.71
SO - 0002057,7/21/2015,45,Distributor,USD,AXW291,727,15,12,"3,919.50","47,034.00","1,567.80"
SO - 0010719,7/21/2015,67,Distributor,USD,GUT930,85,21,6,971.50,"5,829.00",777.20
SO - 0005144,7/21/2015,112,Distributor,USD,AXW291,297,25,11,964.80,"10,612.80",685.01
SO - 0005334,7/21/2015,14,Wholesale,USD,FLR025,270,1,7,"5,621.30","39,349.10","3,541.42"
SO - 0006671,7/21/2015,117,Wholesale,USD,GUT930,199,7,11,"1,145.70","12,602.70",458.28
SO - 0008868,7/21/2015,162,Wholesale,USD,AXW291,803,15,9,917.90,"8,261.10",468.13
SO - 0008034,7/21/2015,163,Wholesale,USD,AXW291,993,3,5,998.30,"4,991.50",589.00
SO - 0009477,7/21/2015,97,Distributor,USD,AXW291,822,18,10,"1,869.30","18,693.00","1,271.12"
SO - 0008473,7/21/2015,86,Wholesale,USD,NXH382,822,5,9,"5,460.50","49,144.50","3,767.75"
SO - 0010467,7/21/2015,114,Distributor,USD,GUT930,310,26,6,"1,038.50","6,231.00",768.49
SO - 0009977,7/21/2015,112,Wholesale,USD,NXH382,586,27,10,"3,932.90","39,329.00","2,084.44"
SO - 0008816,7/21/2015,31,Wholesale,USD,AXW291,987,13,12,"1,045.20","12,542.40",491.24
SO - 000746,7/21/2015,58,Export,USD,AXW291,757,26,11,"3,819.00","42,009.00","2,673.30"
SO - 0002973,7/21/2015,115,Wholesale,USD,GUT930,453,26,11,"1,118.90","12,307.90",749.66
SO - 0003909,7/21/2015,118,Distributor,USD,FLR025,558,1,9,"3,886.00","34,974.00","1,632.12"
SO - 0008248,7/21/2015,75,Distributor,USD,GUT930,112,17,11,"1,701.80","18,719.80","1,429.51"
SO - 000334,7/21/2015,110,Export,USD,FLR025,537,25,11,"2,586.20","28,448.20","1,629.31"
SO - 0002470,7/21/2015,166,Distributor,USD,AXW291,941,1,6,"1,748.70","10,492.20",786.92
SO - 0004098,7/21/2015,59,Wholesale,USD,AXW291,854,3,10,"1,005.00","10,050.00",723.60
SO - 0004455,7/21/2015,168,Wholesale,USD,GUT930,167,26,5,"1,051.90","5,259.50",452.32
SO - 0007259,7/21/2015,40,Export,USD,NXH382,781,26,12,897.80,"10,773.60",538.68
SO - 0007444,7/21/2015,137,Wholesale,USD,GUT930,226,22,7,"1,125.60","7,879.20",596.57
SO - 0009596,7/21/2015,163,Wholesale,USD,FLR025,206,7,9,"1,829.10","16,461.90","1,225.50"
SO - 000668,7/21/2015,51,Wholesale,USD,GUT930,787,3,6,247.90,"1,487.40",158.66
SO - 000775,7/21/2015,133,Export,USD,GUT930,159,18,8,"1,045.20","8,361.60",794.35
SO - 0001897,7/21/2015,157,Wholesale,USD,FLR025,622,4,6,897.80,"5,386.80",520.72
SO - 0002159,7/21/2015,147,Distributor,USD,GUT930,690,13,11,"1,005.00","11,055.00",412.05
SO - 0004666,7/21/2015,49,Distributor,USD,NXH382,530,6,9,777.20,"6,994.80",536.27
SO - 0006683,7/21/2015,114,Wholesale,USD,FLR025,567,8,9,"3,879.30","34,913.70","3,219.82"
SO - 0008671,7/21/2015,83,Wholesale,USD,GUT930,732,11,5,"3,953.00","19,765.00","2,095.09"
SO - 000115,7/22/2015,63,Distributor,USD,AXW291,592,3,5,"3,932.90","19,664.50","3,146.32"
SO - 0001639,7/22/2015,124,Wholesale,USD,AXW291,380,19,8,"1,018.40","8,147.20",437.91
SO - 0002583,7/22/2015,173,Export,USD,AXW291,613,5,10,"1,701.80","17,018.00",867.92
SO - 0002646,7/22/2015,167,Wholesale,USD,AXW291,66,17,11,"2,345.00","25,795.00","1,618.05"
SO - 0005589,7/22/2015,22,Wholesale,USD,AXW291,449,17,9,234.50,"2,110.50",194.64
SO - 0007403,7/22/2015,42,Distributor,USD,AXW291,523,15,7,991.60,"6,941.20",485.88
SO - 0010163,7/22/2015,154,Distributor,USD,AXW291,298,13,11,"3,685.00","40,535.00","2,247.85"
SO - 0009349,7/22/2015,73,Distributor,USD,FLR025,919,4,10,"3,329.90","33,299.00","2,497.43"
SO - 000597,7/22/2015,29,Wholesale,USD,GUT930,397,13,10,"5,487.30","54,873.00","3,127.76"
SO - 000604,7/22/2015,60,Export,USD,GUT930,364,14,7,971.50,"6,800.50",534.33
SO - 0003455,7/22/2015,96,Wholesale,USD,AXW291,970,2,12,"2,512.50","30,150.00","1,130.63"
SO - 0004830,7/22/2015,71,Wholesale,USD,AXW291,558,14,7,"1,782.20","12,475.40","1,122.79"
SO - 0005549,7/22/2015,82,Export,USD,FLR025,745,30,5,167.50,837.50,85.43
SO - 0010262,7/22/2015,73,Wholesale,USD,AXW291,783,25,6,"5,118.80","30,712.80","2,303.46"
SO - 0009518,7/22/2015,35,Distributor,USD,NXH382,549,20,7,"1,266.30","8,864.10",810.43
SO - 0008294,7/22/2015,103,Export,USD,AXW291,558,15,5,"1,742.00","8,710.00","1,480.70"
SO - 000134,7/22/2015,117,Distributor,USD,FLR025,806,26,8,"6,083.60","48,668.80","3,832.67"
SO - 000660,7/22/2015,33,Wholesale,USD,AXW291,667,6,5,"3,725.20","18,626.00","2,570.39"
SO - 0002005,7/22/2015,9,Wholesale,USD,GUT930,943,11,10,"1,922.90","19,229.00",846.08
SO - 0003500,7/22/2015,85,Distributor,USD,AXW291,478,15,5,"1,105.50","5,527.50",442.20
SO - 0003918,7/22/2015,93,Wholesale,USD,AXW291,968,26,6,"1,105.50","6,633.00",851.24
SO - 0004016,7/22/2015,165,Distributor,USD,AXW291,657,4,9,"3,899.40","35,094.60","3,080.53"
SO - 0007165,7/22/2015,72,Export,USD,GUT930,789,5,11,938.00,"10,318.00",497.14
SO - 0009148,7/22/2015,122,Distributor,USD,AXW291,740,5,7,180.90,"1,266.30",86.83
SO - 000456,7/22/2015,105,Distributor,USD,NXH382,33,14,7,"1,862.60","13,038.20","1,359.70"
SO - 0003325,7/22/2015,128,Distributor,USD,FLR025,179,25,9,"6,056.80","54,511.20","3,694.65"
SO - 0003567,7/22/2015,52,Export,USD,AXW291,382,26,11,"2,546.00","28,006.00","1,374.84"
SO - 0008064,7/22/2015,138,Wholesale,USD,NXH382,773,3,9,944.70,"8,502.30",689.63
SO - 0008083,7/22/2015,79,Wholesale,USD,AXW291,770,5,11,"5,051.80","55,569.80","4,243.51"
SO - 0008364,7/22/2015,164,Wholesale,USD,GUT930,691,21,11,"6,244.40","68,688.40","5,182.85"
SO - 0001460,7/22/2015,60,Wholesale,USD,NXH382,878,2,11,"2,525.90","27,784.90","1,843.91"
SO - 0002343,7/22/2015,160,Wholesale,USD,NXH382,399,5,12,"3,832.40","45,988.80","1,724.58"
SO - 0002815,7/22/2015,7,Wholesale,USD,GUT930,785,1,7,"1,011.70","7,081.90",445.15
SO - 0003502,7/22/2015,37,Export,USD,AXW291,230,13,6,268.00,"1,608.00",134.00
SO - 0004122,7/22/2015,79,Distributor,USD,FLR025,770,11,7,"1,802.30","12,616.10","1,063.36"
SO - 0006645,7/22/2015,134,Export,USD,GUT930,473,15,8,958.10,"7,664.80",411.98
SO - 0006938,7/22/2015,158,Wholesale,USD,GUT930,564,26,8,"3,296.40","26,371.20","1,911.91"
SO - 0007607,7/22/2015,151,Distributor,USD,AXW291,139,5,11,"2,860.90","31,469.90","1,316.01"
SO - 0007677,7/22/2015,38,Wholesale,USD,AXW291,565,15,11,998.30,"10,981.30",419.29
SO - 0008211,7/22/2015,6,Wholesale,USD,AXW291,782,25,12,"1,112.20","13,346.40",645.08
SO - 0008392,7/22/2015,73,Export,USD,NXH382,811,2,11,"3,879.30","42,672.30","3,025.85"
SO - 0009059,7/22/2015,58,Wholesale,USD,AXW291,113,26,8,"1,045.20","8,361.60",742.09
SO - 000156,7/22/2015,3,Wholesale,USD,AXW291,746,30,7,"1,112.20","7,785.40",756.30
SO - 0001439,7/22/2015,20,Distributor,USD,AXW291,183,13,11,"2,633.10","28,964.10","2,080.15"
SO - 0005727,7/22/2015,27,Export,USD,GUT930,36,8,12,"2,291.40","27,496.80","1,695.64"
SO - 0006473,7/22/2015,99,Wholesale,USD,AXW291,447,24,9,964.80,"8,683.20",482.40
SO - 0009732,7/22/2015,48,Wholesale,USD,AXW291,983,17,11,871.00,"9,581.00",540.02
SO - 0010515,7/22/2015,5,Wholesale,USD,NXH382,976,3,5,"1,989.90","9,949.50","1,631.72"
SO - 0002045,7/23/2015,101,Wholesale,USD,AXW291,361,14,8,"2,324.90","18,599.20","1,464.69"
SO - 0002672,7/23/2015,1,Export,USD,AXW291,566,5,10,"2,211.00","22,110.00","1,503.48"
SO - 0005034,7/23/2015,15,Wholesale,USD,AXW291,580,4,7,"5,822.30","40,756.10","4,541.39"
SO - 0005290,7/23/2015,105,Wholesale,USD,AXW291,583,6,9,"3,832.40","34,491.60","2,069.50"
SO - 0006207,7/23/2015,86,Distributor,USD,AXW291,626,14,6,"1,695.10","10,170.60","1,373.03"
SO - 0007899,7/23/2015,104,Wholesale,USD,AXW291,776,17,11,"6,090.30","66,993.30","3,532.37"
SO - 0008448,7/23/2015,31,Wholesale,USD,AXW291,172,15,9,"2,680.00","24,120.00","2,170.80"
SO - 0003187,7/23/2015,59,Wholesale,USD,FLR025,395,26,8,"1,835.80","14,686.40","1,248.34"
SO - 0004397,7/23/2015,90,Distributor,USD,AXW291,698,25,10,227.80,"2,278.00",97.95
SO - 0005122,7/23/2015,76,Wholesale,USD,AXW291,292,30,8,"2,525.90","20,207.20","1,869.17"
SO - 0005319,7/23/2015,115,Export,USD,AXW291,682,12,10,"5,969.70","59,697.00","4,656.37"
SO - 0005402,7/23/2015,142,Distributor,USD,AXW291,938,25,6,"2,592.90","15,557.40","1,685.39"
SO - 0006538,7/23/2015,106,Wholesale,USD,AXW291,58,18,8,"1,098.80","8,790.40",450.51
SO - 0010253,7/23/2015,121,Wholesale,USD,FLR025,489,3,8,254.60,"2,036.80",142.58
SO - 0008438,7/23/2015,46,Wholesale,USD,GUT930,540,14,11,911.20,"10,023.20",419.15
SO - 0009661,7/23/2015,18,Export,USD,AXW291,271,5,6,924.60,"5,547.60",545.51
SO - 0008688,7/23/2015,143,Export,USD,FLR025,611,7,9,187.60,"1,688.40",95.68
SO - 0010679,7/23/2015,76,Wholesale,USD,AXW291,435,6,6,"5,333.20","31,999.20","2,986.59"
SO - 0009011,7/23/2015,66,Wholesale,USD,NXH382,112,15,5,"1,072.00","5,360.00",793.28
SO - 0009104,7/23/2015,71,Wholesale,USD,GUT930,593,2,10,944.70,"9,447.00",472.35
SO - 0001478,7/23/2015,133,Wholesale,USD,GUT930,799,11,7,911.20,"6,378.40",692.51
SO - 0001537,7/23/2015,104,Export,USD,AXW291,643,1,9,"3,986.50","35,878.50","1,993.25"
SO - 0005552,7/23/2015,146,Export,USD,NXH382,408,21,7,"3,189.20","22,324.40","2,647.04"
SO - 0005617,7/23/2015,147,Wholesale,USD,GUT930,174,25,8,"6,157.30","49,258.40","4,617.98"
SO - 0007750,7/23/2015,151,Wholesale,USD,AXW291,896,8,7,"6,271.20","43,898.40","3,762.72"
SO - 0009850,7/23/2015,131,Distributor,USD,AXW291,100,26,8,207.70,"1,661.60",93.47
SO - 000185,7/23/2015,102,Export,USD,AXW291,55,5,9,"5,447.10","49,023.90","3,540.62"
SO - 000439,7/23/2015,104,Distributor,USD,AXW291,461,14,9,"2,472.30","22,250.70","1,928.39"
SO - 0001205,7/23/2015,174,Wholesale,USD,AXW291,605,2,10,"2,003.30","20,033.00",861.42
SO - 0002937,7/23/2015,6,Wholesale,USD,GUT930,509,25,12,850.90,"10,210.80",680.72
SO - 0004166,7/23/2015,46,Export,USD,AXW291,472,25,6,"1,045.20","6,271.20",700.28
SO - 0007746,7/23/2015,103,Distributor,USD,NXH382,496,10,5,"6,210.90","31,054.50","2,981.23"
SO - 0007878,7/23/2015,66,Export,USD,AXW291,871,13,12,"5,353.30","64,239.60","3,211.98"
SO - 0009335,7/23/2015,83,Distributor,USD,NXH382,835,5,5,"1,051.90","5,259.50",452.32
SO - 0008945,7/23/2015,30,Distributor,USD,GUT930,349,16,10,"3,966.40","39,664.00","2,895.47"
SO - 0008157,7/23/2015,106,Wholesale,USD,GUT930,539,26,7,"3,859.20","27,014.40","1,891.01"
SO - 0001962,7/23/2015,116,Wholesale,USD,NXH382,978,25,9,"1,051.90","9,467.10",757.37
SO - 0002398,7/23/2015,125,Wholesale,USD,AXW291,56,30,12,"1,996.60","23,959.20","1,637.21"
SO - 0005029,7/23/2015,37,Distributor,USD,NXH382,328,13,9,"5,480.60","49,325.40","4,439.29"
SO - 0009058,7/23/2015,10,Wholesale,USD,AXW291,962,19,5,"5,179.10","25,895.50","2,434.18"
SO - 0009171,7/23/2015,14,Distributor,USD,AXW291,864,10,7,"5,607.90","39,255.30","4,149.85"
SO - 0004486,7/23/2015,129,Distributor,USD,AXW291,161,8,11,"2,519.20","27,711.20","1,889.40"
SO - 0006195,7/23/2015,17,Wholesale,USD,GUT930,968,29,10,"1,815.70","18,157.00","1,398.09"
SO - 0008488,7/23/2015,148,Wholesale,USD,GUT930,403,24,6,891.10,"5,346.60",588.13
SO - 0009194,7/23/2015,88,Wholesale,USD,AXW291,701,5,8,"1,078.70","8,629.60",528.56
SO - 0008949,7/23/2015,174,Wholesale,USD,GUT930,450,14,6,"1,849.20","11,095.20","1,423.88"
SO - 000438,7/24/2015,67,Wholesale,USD,AXW291,953,21,5,"6,143.90","30,719.50","3,071.95"
SO - 000889,7/24/2015,94,Wholesale,USD,AXW291,131,25,10,"3,865.90","38,659.00","1,739.66"
SO - 0003385,7/24/2015,22,Wholesale,USD,AXW291,724,23,7,"1,246.20","8,723.40",934.65
SO - 0004103,7/24/2015,63,Distributor,USD,AXW291,30,26,6,"5,507.40","33,044.40","4,075.48"
SO - 0005227,7/24/2015,106,Distributor,USD,AXW291,534,1,6,"6,056.80","36,340.80","4,118.62"
SO - 0005415,7/24/2015,23,Distributor,USD,AXW291,704,15,11,"1,333.30","14,666.30",879.98
SO - 0005893,7/24/2015,79,Export,USD,AXW291,312,15,11,"1,782.20","19,604.20","1,514.87"
SO - 0006461,7/24/2015,145,Wholesale,USD,AXW291,573,17,12,"1,118.90","13,426.80",447.56
SO - 0009107,7/24/2015,174,Distributor,USD,NXH382,232,1,12,"3,229.40","38,752.80","1,453.23"
SO - 000455,7/24/2015,162,Export,USD,AXW291,867,13,6,"1,065.30","6,391.80",745.71
SO - 000592,7/24/2015,7,Wholesale,USD,AXW291,311,7,5,"5,668.20","28,341.00","3,570.97"
SO - 0001346,7/24/2015,22,Distributor,USD,GUT930,356,26,5,"2,371.80","11,859.00","1,541.67"
SO - 0002039,7/24/2015,114,Wholesale,USD,GUT930,796,18,12,"3,999.90","47,998.80","2,239.94"
SO - 0002333,7/24/2015,153,Distributor,USD,NXH382,676,24,7,"1,802.30","12,616.10","1,135.45"
SO - 0007060,7/24/2015,120,Wholesale,USD,GUT930,615,9,10,777.20,"7,772.00",481.86
SO - 0007517,7/24/2015,141,Wholesale,USD,NXH382,502,20,9,"1,139.00","10,251.00",592.28
SO - 0008087,7/24/2015,64,Export,USD,FLR025,417,26,6,234.50,"1,407.00",121.94
SO - 0010662,7/24/2015,118,Wholesale,USD,AXW291,890,15,6,"2,921.20","17,527.20","2,307.75"
SO - 0010036,7/24/2015,104,Wholesale,USD,AXW291,3,16,5,"1,005.00","5,025.00",592.95
SO - 0010643,7/24/2015,104,Distributor,USD,GUT930,511,25,6,"3,557.70","21,346.20","1,814.43"
SO - 000847,7/24/2015,60,Distributor,USD,AXW291,157,18,9,"1,098.80","9,889.20",857.06
SO - 0001454,7/24/2015,67,Export,USD,AXW291,626,14,7,777.20,"5,440.40",411.92
SO - 0002473,7/24/2015,63,Distributor,USD,NXH382,190,2,8,"2,398.60","19,188.80","1,918.88"
SO - 0006615,7/24/2015,128,Wholesale,USD,NXH382,21,26,5,"5,132.20","25,661.00","2,925.35"
SO - 0006758,7/24/2015,73,Wholesale,USD,NXH382,667,15,9,"1,869.30","16,823.70","1,046.81"
SO - 0008680,7/24/2015,154,Wholesale,USD,NXH382,234,2,6,"1,916.20","11,497.20",900.61
SO - 0009701,7/24/2015,72,Distributor,USD,AXW291,189,21,12,"1,145.70","13,748.40",756.16
SO - 0009871,7/24/2015,175,Wholesale,USD,AXW291,813,2,6,"1,206.00","7,236.00",964.80
SO - 0001966,7/24/2015,174,Wholesale,USD,AXW291,149,3,10,"1,172.50","11,725.00",973.18
SO - 0002231,7/24/2015,150,Wholesale,USD,GUT930,443,17,5,"3,437.10","17,185.50","1,615.44"
SO - 0002259,7/24/2015,161,Wholesale,USD,AXW291,864,26,12,"1,031.80","12,381.60",433.36
SO - 0002542,7/24/2015,144,Wholesale,USD,GUT930,110,21,5,"5,594.50","27,972.50","2,629.42"
SO - 0003869,7/24/2015,141,Wholesale,USD,AXW291,531,4,12,"4,020.00","48,240.00","2,291.40"
SO - 0004794,7/24/2015,16,Wholesale,USD,NXH382,755,5,9,"3,892.70","35,034.30","2,841.67"
SO - 0005795,7/24/2015,77,Wholesale,USD,AXW291,780,25,7,750.40,"5,252.80",547.79
SO - 0006482,7/24/2015,109,Wholesale,USD,AXW291,43,4,8,"3,892.70","31,141.60","1,634.93"
SO - 0007068,7/24/2015,138,Distributor,USD,AXW291,949,1,8,"2,331.60","18,652.80","1,865.28"
SO - 0010618,7/24/2015,125,Distributor,USD,AXW291,91,18,7,"1,239.50","8,676.50",842.86
SO - 0010026,7/24/2015,148,Distributor,USD,AXW291,256,15,6,"1,038.50","6,231.00",633.49
SO - 0001678,7/24/2015,172,Wholesale,USD,GUT930,457,13,10,268.00,"2,680.00",171.52
SO - 0003512,7/24/2015,154,Distributor,USD,NXH382,441,20,9,944.70,"8,502.30",415.67
SO - 0004424,7/24/2015,25,Wholesale,USD,GUT930,654,17,8,"1,762.10","14,096.80",775.32
SO - 0009650,7/24/2015,109,Distributor,USD,AXW291,704,2,6,"1,956.40","11,738.40","1,447.74"
SO - 0010764,7/24/2015,91,Distributor,USD,GUT930,914,1,11,227.80,"2,505.80",100.23
SO - 000104,7/24/2015,76,Export,USD,AXW291,883,2,6,"2,324.90","13,949.40","1,464.69"
SO - 0001992,7/24/2015,173,Export,USD,NXH382,112,6,11,897.80,"9,875.80",493.79
SO - 0008764,7/24/2015,55,Export,USD,GUT930,224,26,9,"2,237.80","20,140.20",984.63
SO - 0008635,7/24/2015,108,Export,USD,FLR025,955,25,6,194.30,"1,165.80",101.04
SO - 000790,7/25/2015,94,Distributor,USD,AXW291,226,13,12,"3,886.00","46,632.00","2,720.20"
SO - 0003653,7/25/2015,32,Export,USD,AXW291,944,26,10,"3,825.70","38,257.00","2,218.91"
SO - 0004323,7/25/2015,17,Distributor,USD,AXW291,400,12,10,"6,505.70","65,057.00","2,927.57"
SO - 0004818,7/25/2015,75,Wholesale,USD,AXW291,620,25,7,247.90,"1,735.30",131.39
SO - 0005977,7/25/2015,64,Distributor,USD,AXW291,907,17,5,"5,695.00","28,475.00","2,676.65"
SO - 0006788,7/25/2015,43,Wholesale,USD,AXW291,129,25,11,"2,438.80","26,826.80","1,195.01"
SO - 0010494,7/25/2015,30,Wholesale,USD,GUT930,406,13,11,"2,773.80","30,511.80","1,414.64"
SO - 0009191,7/25/2015,169,Distributor,USD,GUT930,205,29,9,194.30,"1,748.70",89.38
SO - 0008499,7/25/2015,161,Wholesale,USD,AXW291,599,8,9,"1,051.90","9,467.10",557.51
SO - 000764,7/25/2015,51,Distributor,USD,AXW291,979,5,11,"1,065.30","11,718.30",553.96
SO - 0001237,7/25/2015,77,Wholesale,USD,AXW291,320,17,11,"5,628.00","61,908.00","4,108.44"
SO - 0004611,7/25/2015,169,Distributor,USD,GUT930,288,11,10,"1,058.60","10,586.00",772.78
SO - 0009712,7/25/2015,102,Wholesale,USD,AXW291,124,25,10,"1,072.00","10,720.00",761.12
SO - 0009812,7/25/2015,4,Distributor,USD,NXH382,341,6,5,"2,010.00","10,050.00","1,286.40"
